t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
510.0,ai,21.00014310620903,21.00022654099599,21.00017573231714,21.000254050880642,21.000189227663924,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,339.4
520.0,ai,21.000133863279316,21.000230075999255,21.000178305451676,21.00026051866372,21.000192969456585,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,337.8
530.0,ai,21.000122012000034,21.00022801880248,21.000174768246175,21.000261188091308,21.000190453813435,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,335.9
545.0,ai,21.000068572939718,21.000114207217237,21.000081613877406,21.00013069676568,21.00008942360816,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,332.7
555.0,ai,21.000082086486156,21.000160336054975,21.000128797248138,21.000187727965738,21.000140982341357,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,330.4
565.0000000000001,ai,21.00007618161864,21.000161093878766,21.000132462780144,21.000192264426495,21.000145769308926,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,327.8
575.0,ai,21.000067917307746,21.000156856997286,21.000129791574405,21.000191118314604,21.000143829373123,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,325.1
585.0,ai,21.000059160400156,21.00015385779497,21.0001271609542,21.000189484686267,21.0001412641083,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,322.2
595.0000000000001,ai,21.000050381277852,21.00015097181991,21.00012466234746,21.000187488749837,21.000138637677978,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,319.1
605.0,ai,21.0000416662851,21.000147908363736,21.000122215212244,21.000185142311643,21.00013599743083,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,315.8
615.0,ai,21.000032895079272,21.00014463785556,21.000119793887073,21.00018263260359,21.00013337098796,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,312.5
625.0000000000001,ai,21.000024053479606,21.000141084935592,21.00011731859049,21.000179781663377,21.00013066989309,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,309.0
635.0,ai,21.000015382551297,21.000137282773743,21.000114840814483,21.00017664886665,21.00012792099616,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,305.4
645.0,ai,21.000006734841413,21.00013201530792,21.0001119700966,21.000172848654017,21.000124836660376,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,301.8
655.0000000000001,ai,20.999998115161013,21.000126056988368,21.000108960862143,21.000168669003088,21.00012158384063,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,298.2
665.0,ai,20.999989526811,21.000119620125204,21.000105895719905,21.000164209049476,21.000117849933027,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,294.7
675.0,ai,20.999981499457327,21.00011211979431,21.00010232773089,21.0001584929382,21.00011424269669,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,291.2
685.0000000000001,ai,20.99997113130067,21.00010451125412,21.00009892620338,21.000152853110862,21.000110405923593,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,287.9
695.0,ai,20.999963089790818,21.00009674973432,21.000095527298996,21.00014723420042,21.00010658516079,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,284.7
705.0,ai,20.99995524675721,21.00009027636877,21.000092311842945,21.000142083066596,21.000103094421256,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,281.8
715.0000000000001,ai,20.999947528440977,21.000084191060324,21.000089199580138,21.00013711894352,21.00009975257172,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,279.1
725.0,ai,20.999939971427132,21.000078262191384,21.000086153735467,21.000132269765956,21.000096490029527,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,276.8
735.0,ai,21.00000003468358,21.000087957781513,21.00007867308718,21.00012935469984,21.000086478483375,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,274.9
745.0000000000001,ai,20.999997644713048,21.000078790910788,21.00006955028634,21.000117217067693,21.00007650721073,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,273.3
755.0,ai,20.999993602664915,21.00007281755194,21.00006553107503,21.000109477510005,21.000071974074174,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,272.2
765.0,ai,20.999989204230445,21.000067610181084,21.000062538332426,21.00010337780727,21.000068372971576,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,271.6
770.0,ai,20.999975160057037,21.000096014079926,21.00008662304372,21.000146244636067,21.000094014658995,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,271.5
780.0,ai,20.99996526286936,21.00009459734713,21.000088637421296,21.000145081891795,21.000095410327223,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,271.7
790.0,ai,20.999873321120987,21.000053215137132,21.000065864397158,21.000104738010993,21.00007159448736,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,272.4
800.0,ai,20.999804866897136,21.00003209289676,21.000053825721114,21.000098129680996,21.00006093450036,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,273.6
810.0,ai,20.999787000234047,21.000021946544365,21.000044359991865,21.000088421800083,21.000051209339187,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,275.4
820.0,ai,20.99977698005428,21.000015262191354,21.000036992086756,21.000080903623783,21.000043256460447,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,277.8
830.0,ai,20.999769176164346,21.00001152869231,21.00003124908448,21.00007453099351,21.00003685782698,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,280.7
840.0,ai,20.99976225917627,21.00000940164069,21.00002686656574,21.000069633184232,21.000031797984672,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,284.2
850.0,ai,20.9997639882658,21.000014676732942,21.000029203282583,21.000072400098738,21.0000335039835,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,288.3
860.0,ai,20.999760527161577,21.000019871076404,21.000033414990096,21.000078180515505,21.000037117322538,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,292.9
