t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
430.0,baseline,18.087483230990493,16.539939933839786,16.477319963914407,16.251235390634573,16.326421099746746,-1.32,-1.79,-1.81,-1.87,-1.85,0.0,347.3
443.3333333333333,baseline,17.602512053936856,16.120922796627347,16.124279411066436,15.838474229024746,15.976479219372871,-1.47,-1.91,-1.91,-2.0,-1.96,0.0,346.6
455.0,baseline,17.268383003181675,15.860980991559975,15.938010687467196,15.624471610277858,15.79199951018968,-1.57,-1.99,-1.97,-2.06,-2.01,0.0,345.7
465.0,baseline,17.142993078782496,15.779131253095283,15.842497305240475,15.602755913606057,15.6969402941743,-1.61,-2.02,-2.0,-2.07,-2.04,0.0,344.9
474.99999999999994,baseline,17.07438371644112,15.743240550209991,15.795809245764435,15.600308424490027,15.650706280339172,-1.63,-2.03,-2.01,-2.07,-2.05,0.0,344.0
485.00000000000006,baseline,17.03999787513595,15.730501419710588,15.7770313987369,15.600032353279806,15.630715826583543,-1.64,-2.03,-2.02,-2.07,-2.06,0.0,342.9
495.0,baseline,17.555792219668568,16.22413751649527,16.206693803854932,16.005783024787835,16.060660970880953,-1.48,-1.88,-1.89,-1.95,-1.93,0.0,341.6
500.00000000000006,baseline,17.635920949742868,16.284809085863778,16.282723556146504,16.03131104573704,16.133387590912104,-1.46,-1.86,-1.87,-1.94,-1.91,0.0,340.9
510.0,baseline,17.749444656866075,16.401609645942965,16.39119298912571,16.125812060583247,16.240398382250632,-1.43,-1.83,-1.83,-1.91,-1.88,0.0,339.4
520.0,baseline,17.803202804070402,16.464324863628846,16.45016076654758,16.173237294257717,16.29487371747894,-1.41,-1.81,-1.81,-1.9,-1.86,0.0,337.8
530.0,baseline,17.882453105631438,16.560209373585412,16.544922709721256,16.253294161595214,16.38520268285459,-1.39,-1.78,-1.79,-1.87,-1.83,0.0,335.9
545.0,baseline,18.166607617958185,16.84847143364732,16.81578842361757,16.524841826561804,16.64682462517277,-1.3,-1.7,-1.71,-1.79,-1.76,0.0,332.7
555.0,baseline,18.36298509632636,17.04578115956774,16.99121797777732,16.698049643392153,16.811561424240388,-1.24,-1.64,-1.65,-1.74,-1.71,0.0,330.4
565.0000000000001,baseline,18.49697509319178,17.192978245277498,17.119007266090662,16.822081080460606,16.944579924807055,-1.2,-1.59,-1.61,-1.7,-1.67,0.0,327.8
575.0,baseline,18.593486787731422,17.30980296164524,17.237360848972777,16.917674494061423,17.047616613676635,-1.17,-1.56,-1.58,-1.67,-1.64,0.0,325.1
585.0,baseline,18.668671619099264,17.399201310250298,17.329307213300787,16.99467077115726,17.13102262404899,-1.15,-1.53,-1.55,-1.65,-1.61,0.0,322.2
595.0000000000001,baseline,18.733535407504327,17.473763606821105,17.404876448486483,17.062183833071003,17.203872885270865,-1.13,-1.51,-1.53,-1.63,-1.59,0.0,319.1
605.0,baseline,18.792025882171153,17.53993205420798,17.471455397800266,17.12375691360923,17.270130103460787,-1.11,-1.49,-1.51,-1.61,-1.57,0.0,315.8
615.0,baseline,18.846592743594123,17.602289343272183,17.5337382668013,17.182492629641033,17.333144702928927,-1.1,-1.47,-1.49,-1.6,-1.55,0.0,312.5
625.0000000000001,baseline,18.898201069600493,17.66129439213474,17.59239097898375,17.238546242704317,17.393239863298806,-1.08,-1.45,-1.47,-1.58,-1.53,0.0,309.0
635.0,baseline,18.946782685179485,17.71735212432188,17.647726368551062,17.292120409637725,17.45071624040775,-1.07,-1.43,-1.46,-1.56,-1.51,0.0,305.4
645.0,baseline,18.992811514863323,17.77605304181867,17.702650935867496,17.34523061147194,17.507648552668126,-1.05,-1.42,-1.44,-1.55,-1.5,0.0,301.8
655.0000000000001,baseline,19.036764858223876,17.83662276368488,17.756706500736787,17.397703374536555,17.56389115901269,-1.04,-1.4,-1.42,-1.53,-1.48,0.0,298.2
665.0,baseline,19.07901595881607,17.898036196904968,17.809436846316864,17.44932237174021,17.621630831092602,-1.03,-1.38,-1.41,-1.52,-1.46,0.0,294.7
